ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,1,1739358832546,0.10695,-0.945,9.651,3.61608,1.32353,22.61823
HS,2,1739358832563,0.10695,-0.945,9.651,7.53941,0.69328,23.17758
HS,3,1739358832575,0.50205,-0.71895,10.30005,6.06619,-1.96954,20.30992
HS,4,1739358832589,-1.398,-1.83795,8.904,5.86136,-3.64759,19.18334
HS,5,1739358832606,0.46605,1.47,10.98705,3.26944,2.64706,18.27735
HS,6,1739358832621,-0.08595,-0.375,9.51705,1.93803,-3.8603,17.50529
HS,7,1739358832637,-0.08595,-0.375,9.51705,0.25998,-5.19171,17.50529
HS,8,1739358832653,0.171,-0.27405,9.759,-3.0331,-9.31987,15.4097
HS,9,1739358832663,0.53505,-1.488,9.60105,-2.19013,2.58404,16.87504
HS,10,1739358832683,0.27195,1.33095,10.67595,-1.90652,-6.16861,15.68544
HS,11,1739358832703,-1.26405,-0.35295,6.711,-0.92962,-0.56723,16.10298
HS,12,1739358832716,0.66705,1.59195,13.33605,-6.67281,-8.3351,16.17388
HS,13,1739358832728,0.66705,1.59195,13.33605,-4.08089,0.82721,16.80413
HS,14,1739358832740,-1.317,-2.826,8.42595,-4.78205,10.42282,16.73323
HS,15,1739358832761,-0.77805,-0.49395,11.574,-4.98688,4.67963,17.15865
HS,16,1739358832776,-1.31205,-3.279,6.82605,-4.08089,8.53206,16.17388
HS,17,1739358832787,-1.31205,-3.279,6.82605,6.00317,-3.64759,17.6471
HS,18,1739358832799,0.75795,-2.62095,9.735,-1.14233,3.63184,17.30046
HS,19,1739358832810,0.75795,-2.62095,9.735,9.01263,14.33827,17.36349
HS,20,1739358832821,0.021,0.429,10.01805,-0.29937,-4.56146,16.03995
HS,21,1739358832831,1.44495,0.55995,7.73595,3.48215,4.26209,17.5762
HS,22,1739358832843,1.44495,0.55995,7.73595,-4.49843,20.92442,16.80413
HS,23,1739358832857,-2.253,-1.90005,6.82905,-2.47375,-3.30095,15.82724
HS,24,1739358832865,-2.253,-1.90005,6.82905,3.19854,-7.2164,15.4097
HS,25,1739358832877,0.27405,-1.04505,9.76605,2.78099,10.42282,15.82724
HS,26,1739358832889,-0.74505,-1.77795,6.25905,8.02785,2.44223,15.3388
HS,27,1739358832894,-0.74505,-1.77795,6.25905,5.37291,-1.89864,15.26789
HS,28,1739358832903,-0.74505,-1.77795,6.25905,2.63919,-10.72219,15.05518
HS,29,1739358832913,0.38505,1.88505,13.944,5.86136,10.98217,15.05518
HS,30,1739358832923,0.38505,1.88505,13.944,4.67175,18.75004,15.4806
HS,31,1739358832934,-0.165,-2.10795,6.876,4.0415,-11.55727,14.14919
HS,32,1739358832946,0.30105,0.88605,12.62295,6.06619,4.89234,14.91337
HS,33,1739358832956,0.30105,0.88605,12.62295,4.31724,13.43228,13.30623
HS,34,1739358832967,-1.33605,-0.41805,8.55705,2.42648,-1.12658,12.53417
HS,35,1739358832978,-1.33605,-0.41805,8.55705,-0.51208,-1.4811,11.90391
HS,36,1739358832989,-1.00095,0.00705,10.96095,0.96114,5.79833,11.90391
HS,37,1739358833001,-0.603,-0.01995,9.89595,-1.77259,3.70274,11.06883
HS,38,1739358833012,-0.603,-0.01995,9.89595,-0.37027,-0.56723,10.15496
HS,39,1739358833024,1.46895,-0.00405,8.41395,0.67752,-2.6707,10.85612
HS,40,1739358833037,1.46895,-0.00405,8.41395,-6.3892,-5.9559,7.00369
HS,41,1739358833047,-2.454,0.513,14.69895,-4.98688,2.64706,9.52471
HS,42,1739358833058,-2.454,0.513,14.69895,-4.1518,15.59878,9.17807
HS,43,1739358833071,-1.32405,-3.55395,6.18705,-9.39866,-2.24528,8.68962
HS,44,1739358833087,-0.06195,-0.92295,12.04305,-3.52154,15.52787,7.91756
HS,45,1739358833097,-0.06195,-0.92295,12.04305,-6.31829,16.93019,7.50002
HS,46,1739358833108,-0.81405,-0.08505,8.868,-7.30306,-12.54205,6.58615
HS,47,1739358833122,0.86805,-0.43005,8.15295,-3.66335,8.17754,7.42911
