ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,601,1739358841838,2.274,0.65895,13.12995,9.91862,2.15862,4.21482
HS,602,1739358841855,-2.622,-1.89495,5.13795,0.95326,-1.552,5.75894
HS,603,1739358841871,0.13995,2.64795,16.104,0.67752,3.69486,5.05779
HS,604,1739358841887,-0.21795,1.33395,9.22305,3.26944,38.28003,5.61713
HS,605,1739358841904,1.84995,-0.624,9.702,-6.39707,-24.02054,3.93121
HS,606,1739358841921,0.408,-2.13195,8.51895,-6.74371,15.38606,4.77417
HS,607,1739358841938,-1.29795,-3.85605,5.85195,-1.42595,-17.93071,5.26262
HS,608,1739358841954,-0.41205,-4.82805,8.193,7.18489,-29.62192,5.05779
HS,609,1739358841971,-0.41205,-4.82805,8.193,9.21746,-16.11086,5.33352
HS,610,1739358841987,-1.24305,-1.57695,10.06995,13.48743,11.88816,6.10558
HS,611,1739358842004,-0.00195,-2.61105,10.398,7.3267,-5.96377,4.77417
HS,612,1739358842020,-1.18005,-1.17,10.22595,16.63869,25.74586,5.68804
HS,613,1739358842037,-1.326,-1.91895,11.08605,10.96641,-2.39496,4.28572
HS,614,1739358842054,-0.39495,2.65095,10.113,7.95695,14.68491,5.47533
HS,615,1739358842073,-0.081,-1.10505,9.405,1.86713,-2.39496,4.28572
HS,616,1739358842087,-0.081,-1.10505,9.405,-0.44118,1.45746,3.51366
HS,617,1739358842105,0.27405,-0.411,9.924,5.01839,-9.87922,4.42753
HS,618,1739358842122,-1.37205,-4.23405,9.08595,7.60243,-6.31041,4.49843
HS,619,1739358842138,-0.22995,-0.73095,10.707,10.05254,2.15862,5.54623
HS,620,1739358842156,-1.578,0.09795,7.46295,0.39391,-4.70327,4.28572
HS,621,1739358842171,-0.46905,-0.43695,14.15505,-4.43541,12.17177,4.49843
HS,622,1739358842187,-2.547,-2.83095,5.622,-2.40284,18.75004,4.07301
HS,623,1739358842202,-2.547,-2.83095,5.622,-8.56357,-9.39078,4.28572
HS,624,1739358842219,1.12905,1.09695,10.91595,-15.00003,10.1392,3.23793
HS,625,1739358842236,-1.43895,0.963,12.01695,-18.1513,1.38656,3.51366
HS,626,1739358842253,-0.18705,-3.09495,9.55605,-15.21275,-12.47114,3.16702
HS,627,1739358842269,-0.73995,0.51,11.54805,-9.61137,-1.20536,3.02522
HS,628,1739358842286,1.326,-3.315,9.18195,-9.68227,-11.06883,2.6707
HS,629,1739358842303,-0.57495,-3.27405,8.823,-4.2227,1.31565,2.6707
HS,630,1739358842319,-0.12195,0.33105,11.71995,-6.39707,9.29624,2.25316
HS,631,1739358842336,-0.12195,0.33105,11.71995,-10.94278,11.187,2.81251
HS,632,1739358842352,-1.92705,-1.299,8.12895,-11.99057,-2.39496,3.30095
HS,633,1739358842369,2.106,-4.665,9.25605,-6.74371,-1.41019,2.7416
HS,634,1739358842386,0.552,-1.68705,8.11905,3.82879,26.79366,2.53677
HS,635,1739358842402,2.391,1.13805,7.971,1.16597,4.95537,2.18225
HS,636,1739358842419,1.91895,-2.44095,9.66105,-0.16544,6.57039,3.09612
HS,637,1739358842435,-0.23895,-3.16605,7.91805,9.42229,14.55098,3.79728
HS,638,1739358842452,-0.19095,-1.75605,5.21505,17.33197,7.76,4.70327
HS,639,1739358842469,-0.19095,-1.75605,5.21505,6.55464,-14.2201,1.27626
HS,640,1739358842485,-2.907,4.04895,18.23295,12.50266,36.24746,5.54623
HS,641,1739358842502,-2.70495,-2.59905,2.265,12.99898,24.76896,15.41758
HS,642,1739358842519,0.444,-2.565,14.766,2.21377,-9.67439,1.27626
HS,643,1739358842535,0.07605,-1.47795,6.48405,-2.82038,45.55946,3.44276
HS,644,1739358842552,-1.152,-4.10505,4.25205,0.74843,-21.98797,3.16702
HS,645,1739358842566,0.89895,0.91995,8.562,0.46481,-30.95333,-0.54359
HS,646,1739358842584,0.89895,0.91995,8.562,-12.83354,-37.81521,2.6707
HS,647,1739358842601,0.37995,-2.74695,15.07005,7.11399,16.93019,3.93121
HS,648,1739358842619,-0.795,-4.79205,2.90205,-1.28414,-24.16235,3.79728
HS,649,1739358842636,2.571,-2.058,19.77405,0.81933,26.73063,1.6229
HS,650,1739358842653,-1.44795,3.18195,5.895,-1.21324,49.19917,6.87764
HS,651,1739358842669,-2.22195,-2.71395,9.29505,-17.0326,-27.38452,1.69381
HS,652,1739358842685,-3.438,-6.48705,13.81695,-16.89079,-1.83561,0.85084
HS,653,1739358842701,-3.438,-6.48705,13.81695,-9.75317,11.47061,0.08666
HS,654,1739358842721,-1.48695,-4.18905,6.33795,-15.21275,-20.66444,-0.89811
HS,655,1739358842736,1.524,0.951,22.68405,-0.8666,22.10614,0.78782
HS,656,1739358842752,3.69105,-1.986,6.22305,-7.02733,-5.96377,2.18225
HS,657,1739358842767,2.74995,-5.034,11.20005,0.95326,-1.69381,0.85084
HS,658,1739358842783,-2.43495,2.69895,11.59995,2.63919,38.48486,0.99265
HS,659,1739358842800,-1.22295,-3.04695,4.70205,6.55464,27.56572,1.20536
HS,660,1739358842816,-0.26595,-0.92805,12.09105,0.67752,-46.55998,0.92175
HS,661,1739358842833,-0.26595,-0.92805,12.09105,3.33247,16.22903,1.69381
HS,662,1739358842850,-0.972,-0.348,11.799,1.72532,25.81676,2.25316
HS,663,1739358842867,1.23195,-2.247,6.759,-4.78205,-37.11406,1.34717
HS,664,1739358842883,-3.00195,-2.97,5.53605,7.88605,2.08771,9.25685
HS,665,1739358842900,3.35595,-0.14505,6.80895,-0.02363,-14.85035,1.97742
HS,666,1739358842917,1.25805,-0.76305,10.461,8.93384,-2.46587,0.78782
HS,667,1739358842934,-1.75305,-1.131,8.14995,9.5641,4.39602,3.72637
HS,668,1739358842950,-1.75305,-1.131,8.14995,2.77312,2.93068,1.13446
HS,669,1739358842966,-4.72905,-2.57505,12.62295,-0.7957,21.20015,1.552
HS,670,1739358842983,-0.83595,0.11295,11.04705,7.18489,32.67865,1.76471
HS,671,1739358842999,0.81105,-4.41405,8.42295,6.90915,2.15862,1.4811
HS,672,1739358843016,-1.16595,-1.086,10.044,9.00475,4.12028,1.41807
HS,673,1739358843033,-0.711,1.956,10.485,-0.7957,-3.51366,-0.96901
HS,674,1739358843050,-1.065,-3.64995,10.11795,-10.17072,-5.60926,1.27626
